GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
table2taste-backend_springboot,net.cabrasky.table2taste.backend.mappers,OrderMapper,84,3,0,0,20,1,4,1,4,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.repository,CategoryRepository,48,0,4,0,12,0,4,0,2,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.repository,MenuItemRepository,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,PrivilegeDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,OrderDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,TranslationDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,CategoryDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,OrderDTO.OrderItem,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,LanguageDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,UploadImageResponseDTO,16,0,0,0,8,0,4,0,4,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,UserDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,MenuItemDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,GroupDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.modelDto,AllergenDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend.websocket,TicketPrinterOrderWebSocketHandler,54,8,4,0,13,2,5,1,3,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.websocket,TicketPrinterFinalTicketWebSocketHandler,54,8,4,0,13,2,5,1,3,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,ImageController,10,3,0,0,2,1,2,1,2,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,AbstractModificableController,29,3,0,0,6,1,4,1,4,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,MenuItemController,47,3,6,0,9,1,9,1,6,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,ServiceController,30,3,2,0,7,1,2,1,1,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,OrderController,57,3,6,0,14,1,5,1,2,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,AbstractController,25,3,2,0,5,1,3,1,2,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,JwtAuthController,104,3,8,0,19,1,9,1,5,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,CategoryController,66,3,8,0,12,1,10,1,6,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,LanguageController,0,3,0,0,0,1,0,1,0,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,TableController,25,3,0,0,6,1,5,1,5,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.controller,AllergenController,0,3,0,0,0,1,0,1,0,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Table,20,18,0,0,8,8,6,5,6,5
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,OrderItemQuantity,28,3,0,0,12,1,8,1,8,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,MenuItem,39,33,2,2,11,15,9,7,7,7
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Language,10,11,0,0,4,5,3,2,3,2
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,OrderItem,91,3,12,0,22,1,16,1,10,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Allergen,18,18,1,1,5,8,4,4,3,4
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Category,74,26,7,1,22,12,15,5,11,5
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Privilege,3,7,0,0,1,3,1,2,1,2
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Group,30,25,2,2,8,11,6,5,4,5
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Service,94,12,0,0,25,4,15,1,15,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Translation,12,15,0,0,4,7,4,4,4,4
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,Order,27,8,0,0,11,2,8,1,8,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.model,User,24,29,1,1,7,13,6,7,5,7
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,TableService,39,3,2,0,9,1,6,1,5,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,LanguageService,0,3,0,0,0,1,0,1,0,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,ServiceService,209,3,8,0,39,1,15,1,11,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,AbstractService,14,3,0,0,3,1,3,1,3,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,AllergenService,0,3,0,0,0,1,0,1,0,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,CategoryService,39,3,4,0,11,1,5,1,3,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,OrderService,201,3,14,0,41,1,14,1,7,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,AbstractModificableService,60,3,2,0,17,1,5,1,4,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,UserService,101,3,2,0,19,1,6,1,5,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,ImageService,96,3,4,0,25,1,4,1,2,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.service,MenuItemService,186,3,6,0,33,1,15,1,12,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.configuration,WebSocketConfig,0,40,0,0,0,6,0,2,0,2
table2taste-backend_springboot,net.cabrasky.table2taste.backend.configuration,DataLoader.new User() {...},0,44,0,0,0,6,0,1,0,1
table2taste-backend_springboot,net.cabrasky.table2taste.backend.configuration,WebConfig,0,55,0,0,0,9,0,4,0,4
table2taste-backend_springboot,net.cabrasky.table2taste.backend.configuration,DataLoader,17,584,1,1,3,130,2,43,1,43
table2taste-backend_springboot,net.cabrasky.table2taste.backend.configuration,SecurityConfiguration,0,99,0,0,0,19,0,10,0,10
table2taste-backend_springboot,net.cabrasky.table2taste.backend.jwt.dto,AuthRequestDTO,3,0,0,0,1,0,1,0,1,0
table2taste-backend_springboot,net.cabrasky.table2taste.backend,Table2tasteBackendSpringbootApplication,5,3,0,0,2,1,1,1,1,1
